"question","entity","graph_ok","flat_ok","graph_answer","flat_answer"
"Tesla co lien quan den nhung cong ty nao?","Tesla","True","True","Tesla có liên quan đến các công ty sau: - **Ford** (cạnh tranh với Tesla) - **BYD** (cạnh tranh với Tesla) - **Other car manufacturers** (các nhà sản xuất ô tô khác)","Dựa trên ngữ cảnh, Tesla có liên quan đến các công ty sau:  1. **PepsiCo** - Khách hàng sử dụng xe tải Tesla Semi 2. **Ford** - Đối thủ cạnh tranh (được so sánh về vốn hóa thị trường) 3. **GM (General"
"Cac hang xe dien ban tai My?","United States","True","True","Khong du thong tin trong co so tri thuc.","Khong du thong tin trong co so tri thuc."
"McKinsey danh gia thi truong EV ra sao?","McKinsey","True","True","Không đủ thông tin trong cơ sở tri thức.","Khong du thong tin trong co so tri thuc. (Ngu canh khong cung cap thong tin ve danh gia cua McKinsey doi voi thi truong EV.)"
"Uu diem cua xe dien so voi xe xang?","Battery Electric Vehicle","True","True","Khong du thong tin trong co so tri thuc.","Khong du thong tin trong co so tri thuc."
"Cox Automotive ve doanh so EV quy 1 2024?","Cox Automotive","True","True","Khong du thong tin trong co so tri thuc.  Context chi ghi nhan Kelley Blue Book (da duoc Cox Automotive mua lai) da ""xuat ban"" du lieu doanh so EV quy 1 2024, nhung khong cung cap so lieu cu the ve do","Khong du thong tin trong co so tri thuc.  (Nguồn chỉ đề cập đến dự đoán và kết quả doanh số EV của cả năm 2023, không có thông tin cụ thể về quý 1 năm 2024.)"
"So sanh EV vs ICE co loi ich gi?","ICE","True","True","Khong du thong tin trong co so tri thuc. (Thuc the 'ICE' khong co trong do thi tri thuc.)","Dựa trên context, các lợi ích/điểm khác biệt cụ thể giữa EV và ICE không được nêu chi tiết. Context chỉ cung cấp các dữ liệu sau:  - **Xu hướng doanh số (Q2 2024 so với Q2 2023):** Doanh số EV tăng 21"
"Ha tang sac dien o My phat trien the nao?","Charging Station","True","True","Khong du thong tin trong co so tri thuc.","Khong du thong tin trong co so tri thuc."
"Vai tro cua California trong nganh EV?","California","True","True","Khong du thong tin trong co so tri thuc.","Khong du thong tin trong co so tri thuc. (Ngu canh chi de cap cac cuoc gap giua Thong doc California voi Trung Quoc ve bien doi khi hau, phat trien kinh te, du lich va van hoa, khong de cu cu the den "
"Chinh sach nao ho tro phat trien EV?","EPA","True","True","Khong du thong tin trong co so tri thuc.","Khong du thong tin trong co so tri thuc. Nguon tai lieu chi de cap den vi the dan dau cua Trung Quoc trong san xuat EV va pin EV (gan 2/3 san luong EV the gioi va hon 3/4 pin EV), cung voi cac doi moi"
"Thi truong EV toan cau nam 2024?","BloombergNEF","True","True","Khong du thong tin trong co so tri thuc.","Khong du thong tin trong co so tri thuc.  Co so tri thuc chi cung cap thong tin ve mot cong ty cu the (ZEEKR) voi 18,616 xe giao trong thang 5/2024 (tang 115% so voi thang 5/2023) va cac lan ra mat ma"
"Nhung hang xe nao ban EV tai My?","Ford","True","True","Dua tren co so tri thuc:  - **Tesla**: San xuat EV tai Hoa Ky. - **Ford**: Canh tranh voi Tesla (cung trong thi truong EV). - **BYD**: Canh tranh voi Tesla (cong ty Trung Quoc, co the ban EV tai My). ","Khong du thong tin trong co so tri thuc."
"Toyota co dong gop gi cho nganh EV?","Toyota","True","True","Khong du thong tin trong co so tri thuc.","Dua tren co so tri thuc, Toyota dong gop cho nganh EV bang viec thiet lap muc tieu ban 500.000 xe dien (EV) vao nam 2025, noi theo duoi muc tieu 3 trieu xe cua Volkswagen."
